turn,hand_cards,mana,lands,spells_played,spent_mana,lands_entered,lands_prop,cumulative_mana,cumulative_spent_mana,mana_curve_efficiency,diff_mana,diff_hand_cards,spent_mana_per_land,spells_played_per_mana,mana_usage_rate,mana_lands_interaction
1,7,0,0,1,0,0,0.0,0,0,,0.0,0.0,,inf,,0
2,6,0,0,2,0,0,0.0,0,0,,0.0,-1.0,,inf,,0
3,5,0,0,2,0,0,0.0,0,0,,0.0,-1.0,,inf,,0
4,4,1,1,0,1,1,0.25,1,1,1.0,1.0,-1.0,1.0,0.0,1.0,1
5,3,1,1,1,1,0,0.3333333333333333,2,2,1.0,0.0,-1.0,1.0,1.0,1.0,1
6,3,1,1,1,1,0,0.3333333333333333,3,3,1.0,0.0,0.0,1.0,1.0,1.0,1
7,1,1,1,2,1,0,1.0,4,4,1.0,0.0,-2.0,1.0,2.0,1.0,1
8,0,1,1,0,1,0,inf,5,5,1.0,0.0,-1.0,1.0,0.0,1.0,1
9,0,2,2,0,0,1,inf,7,5,0.7142857142857143,1.0,0.0,0.0,0.0,0.0,4
10,0,2,2,1,1,0,inf,9,6,0.6666666666666666,0.0,0.0,0.5,0.5,0.5,4
